Id	FirstName	LastName	UserName	Email	PhoneNumber	PostalCode	Country	City	Province	Street	Password
73594a77-cfeb-477f-9637-79923d824bae	Troy	Grant	troy	troy@mail.com	643196822	94139	South Africa	Johannesburg	Gauteng	11 Street	troygrant
c6e09e54-b87a-45e7-9c40-3904034afb2f	Sara	Reese	sara	sara@mail.com	682963047	1453	South Africa	Moganyake	Limpopo	95 Street	sarareese
7dc1dd77-c4f4-4b5f-a166-019f27c19545	Charlie	Joseph	charlie	charlie@mail.com	661885428	70440	South Africa	Mabhoko	Mpumalanga	14 Street	charliejoseph
9b0fb5b8-c358-4adf-9cfc-db0104bd39c7	Gene	Gutierrez	gene	gene@mail.com	634394490	68496	South Africa	Tshitavha	Limpopo	70 Street	genegutierrez
1a12f3a7-d5d6-477d-a42b-1ec840687c73	Anita	Francis	anita	anita@mail.com	628528810	24025	South Africa	Lufafa	Eastern Cape	60 Street	anitafrancis
12ae1ed6-e4ad-464e-b406-2512d1043b5b	Mary	Perez	mary	mary@mail.com	685883336	99251	South Africa	Klipdrif	Free State	9 Street	maryperez
d8b7bc8a-30c4-4a04-a233-0d1f6003cb04	Joshua	Farmer	joshua	joshua@mail.com	665443681	40908	South Africa	Tshidilamolomo	North West	20 Street	joshuafarmer
ef22e7b1-72c9-4fa9-9bed-700206893d68	Theodore	Kennedy	theodore	theodore@mail.com	651947849	42538	South Africa	Maswabantwana	Eastern Cape	34 Street	theodorekennedy
883488c1-6f8f-42f5-8c7e-3170398b2e6a	Gerald	Henderson	gerald	gerald@mail.com	662611441	51198	South Africa	Riemvasmaak	Northern Cape	98 Street	geraldhenderson
97950173-63fc-4b86-941b-96fbb9dd2ee4	Owen	Campbell	owen	owen@mail.com	614262578	65979	South Africa	Silverton	KwaZulu Natal	55 Street	owencampbell
44c8d5ed-02c4-43ec-866f-2de53e078f79	Laurie	Rodriguez	laurie	laurie@mail.com	637366183	90184	South Africa	Temba	North West	19 Street	laurierodriguez
c888df96-e294-4433-bc0e-42ce3de4d04b	Minnie	Sherman	minnie	minnie@mail.com	688599209	25574	South Africa	KuMlandena	Eastern Cape	49 Street	minniesherman
00e9862b-73fc-4507-8dcd-0fc019fe5da0	Dewey	Doyle	dewey	dewey@mail.com	616037087	40648	South Africa	Kwa-Maqosha	Eastern Cape	88 Street	deweydoyle
b03ad0de-3077-436e-ae5b-042619922fa7	Stephanie	Davidson	stepanie	stepanie@mail.com	621857869	16775	South Africa	Sthaberg	North West	12 Street	stephaniedavidson
052f4b00-ac84-48a1-9112-c15a0a3f2b29	Tina	Porter	tina	tina@mail.com	616382909	86930	South Africa	Hartebeesfontein	Free State	67 Street	tinaporter
dc7aa63d-ad10-4053-aaf2-ca6000b33153	Roosevelt	Saunders	roosevelt	roosevelt@mail.com	634125980	19550	South Africa	Ntlanjeni	Eastern Cape	9 Street	rooseveltsaunders
946e6d48-e3e3-41a7-b520-9b595b4467ef	Gertrude	Ward	gerturde	gerturde@mail.com	636099586	56231	South Africa	Lutateni	Eastern Cape	67 Street	gertrudeward
cc6a00f1-96d8-4e7c-9b46-52c7e9d9f8a8	Reginald	Schmidt	reginald	reginald@mail.com	653097028	21540	South Africa	Water's Edge	Gauteng	61 Street	reginaldschmidt
